checkout_time,finish_tick,id,in_queue,items_left,items_total,patience,shopping_done,start_tick,tipo,total_time,velocidad
5,52,1,False,0,4,0.2453172364100717,True,1,solo,51,Rapido
7,99,2,False,0,4,0.09777491216381043,True,2,solo,97,Normal
7,57,3,False,0,6,0.1680974629427493,True,3,solo,54,Rapido
9,61,4,False,0,6,0.21406148223799268,True,4,solo,57,Rapido
4,37,5,False,0,2,0.1595857947444862,True,5,solo,32,Rapido
11,197,6,False,0,9,0.3275654420979239,True,6,familia,191,Normal
16,242,7,False,0,14,0.09948197784005704,True,7,familia,235,Normal
11,228,8,False,0,9,0.05517931261021414,True,8,familia,220,Normal
7,47,9,False,0,4,0.11807946360947587,True,9,solo,38,Rapido
6,164,10,False,0,5,0.2934783175487323,True,10,solo,154,Tranquilo
7,106,11,False,0,4,0.16038874645420675,True,11,solo,95,Normal
9,178,12,False,0,6,0.4190089285619492,True,12,solo,166,Tranquilo
14,245,13,False,0,12,0.1323932324027469,True,13,familia,232,Normal
8,134,14,False,0,6,0.6406844942970858,True,14,solo,120,Normal
5,43,15,False,0,3,0.1593674884944087,True,15,solo,28,Rapido
6,120,16,False,0,5,0.4718853777104564,True,16,solo,104,Normal
5,113,17,False,0,4,0.21622966379524602,True,17,solo,96,Normal
8,71,18,False,0,6,0.31680697645290556,True,18,solo,53,Rapido
5,100,19,False,0,4,0.1739353224117623,True,19,solo,81,Normal
3,50,20,False,0,2,0.18299299091093837,True,20,solo,30,Rapido
